,gid,black,white,black_rating,white_rating,move_list,winner
0,1939599,fastplayer,Maciej Celuch,1806,2688,g3*e9i10f7d12b12c11d11c12f11g12e12g5j4h7c9h3f5f6h6g7g6e10b11c10b10d8d7c8f9j2e7e5b7c6d5e4k2j3k3i5l5j5k5j6l8k9l9k8k7h10h9i8j8i9h5i4g4g3f3h4d6d4j11l7a5c5a9b6m6m7e6f4j9j10a3a7i7j7,white
1,1938419,MoHex3H,Maciej Celuch,1500,2688,h12e4f4i5h6e9i7i6h7g5k5k4j4j5h5i3i4k2j2j3f7e6h4h3l2k3g4g2m3j6d5d3b3d4k6j7b6b4k7k9l8j10c3c4m9l11l10k11f2f3j8l4h2g3l5m4a5a4,white
2,1938296,fastplayer,Maciej Celuch,1806,2688,g7*f7d10i8j11f8g6i5h4j3j4i4g8j6j5e10f11i6h9g10h10f6f9e9d12g11f10c12d11i10i12c10d9c9d8c8d7c7d5c5c6a7c11a12b9b11b7d6e5h8g9h12i9k8j9e6g4k9j10f4f5m10k11l12l9g5h5k10l10a8b8a9a10m8m9,white
3,1938295,Jose Maria Grau Ribas,Maciej Celuch,2083,2688,a4*c3i10f8j2k10k11i3e6g6f10e10f9e9d12e11e12f11f12d9c11h11i12g13g11h10g10i8i7h8i9h9g7h6h7g8f7k5j5j6i6e7f6,white
4,1938291,MoHex3H,Maciej Celuch,1500,2688,g7*e8e4c5f6j5i10h9g11g6f9h11h10d10d9c8b12f10g9c11c12e11f12d12d6g10i7j8k6f7g5e5f4g4e6m4i4m5l7h6e9b7b10j6j7f8h8,white
5,1909790,Maciej Celuch,Yorge,2688,1520,h3*d5d3j9h6j4j11e9f8k6g11d8,black
6,1877598,zastrzyk,Maciej Celuch,1751,2688,a8*i5i10k10k11e9c11g10f8e6f9h8h9g9h7,white
7,1877596,Maciej Celuch,Peter Koning,2688,1694,a3,black
8,1877594,Daniel Sepczuk,Maciej Celuch,2386,2688,c12e4i5j4d5e9e5d3b3d4b6b4i4h8j9h7f7e10,white
9,1877591,Maciej Celuch,Szymon D,2688,1531,m4,black
