moves,winners
3m1c12l13m9a3k5f10e6m1k8i12h2k13f9f11c11m12d6g10k5h3g3i12g2h9b7b1d6b10i10g3a2a9m3h8b9i7c10h11a8h2b7g11l6i7l9g5b1g13i12i9k11h9d10j4a3b6k13l7h9e1i11i12j13e5l8e11f12f8f8d8m6e11k9j11b4i6j7i4l7f3j2j1f2d12m9c3c10d2e3d7d4c1e5c4e3e5a5d4m2g10l3f7j6h5j2m13j12e4d11e11d8a5g8g2i4f4h6f12b4g13k13c1m13d12a4b8k5i13b10f,black
3m1c12l13m9a3k5f12g6m7a9h12f8h10d2k11b12m9e10f2a7g1l3j3f12e5g3h7e2d5k6l11i11g13l3g1d2c13e3i6k11l10g11h13b10i2l13d1f12h13h10k10c9i9g8g2m11k1j9f3c2h11c12i4l6h5m13i2g7m6b7i11a12b6j6i1e4j4h2i4e4b5b8i1b3b9j5c5l4g7f2f5d6f7h6d11d6c9k12c10l3d8b7k8j7l6a13g4d10m13c5e9d4c10e5h9c1g10j5a1k2b4a6g12k13k7d13j1m13a13f4f9m8e9b6e3l8d2e8m2j4k10a8c4i11f10b3e,black
3m1c12l13m9a3k5f4b5m7a3l13g5i8e9e4h6g9f8f10d10e5l6m13l12d11a11d11f11m4j2k8d12f7m3g6b2g7e9g4f3e4m9h10h11h13f11g1h1f2l2a10i13c2j1l6i6h7h4l5g6f9b9c2m11i10m10k2d13h3h12e13i8i9k10j12k11k2c12j8k11l3f3c2h12i8b1d11c11b7i11e5h10f1b4e9m6d5j10g4d8c13a7g6k9d2b5e5c4g1g13j12h12b9i7j6c12c10a5d11j2f,black
3m1c12l13m9a3k5f4a6m5k6l8f9h7h8g4k2k13l7g13f10f2g11g13b7e10i9i12k12e10a4g3i5h10e2a11h7m11d9f2d2c10b6f3g3c9g12g4f3d1f2e1a9d1h11k11i11l2f10k11b12c4l13c3e11f3l2j6k2i5d5e8b1d6j4e6a5l7d10j7f5j10h4h8j12j4m8m5b2b7k8l1b1e12b4j9c11c2m9j8k6h8d12d5i7l3f13h7a9e9b8e11m13i7b8a7c13e5m13j10l9l1m9m10g10m6d1g13a3h10c4d,black
3m1c12l13m9a3k5f12f6m10e8i2b12m13h1l9i10j3f9g6a11h3h13g5c9h11b12h3i2g10l3g11c4f6d10k9d7e5l8c4i4e7i6i12k4h2j11l3d11k1f3e11d2d7f6f13j12i7b1j1k11g10a10m13e10f6k6j1e8f4b7h5m2f5i2k6l4l6g5h8e13d11a5g12g7g2l9f12b2i11m4a7c2m1i6e10i5b7j13i13l12d5d11f9k11e8h9l4d5a9c8j4m7m5e8l3l10b8b6b11j3c10g10h9j3b10d1d3j1g13k9m2c1b12c7k4k5k5j12j3a6c7l8m6h8k1m,white
12i4e9e5i3j13j10e9g8g4k10i11l8l8e9k10j12e9j13e10l3f3d2m2l3i3l8a8b12h7d13d6c11j5b13a11k13h5e4h8i6i7h9h9i13i8f3e10h7l9f3c6j7e4d5c9a5m10k1j4m11e5f8h7i13c7c10f6b13l2d4l4a6m2c5a3m11i11h5d4c6f6e1g7g12m3g6d2g11a10b11c11b12b1f8k4f4j2i9c10a1l10c13m9d5h6h13f1k5l6g4b10g1h11d13k1m7f1b4i9m,white
12i4e9e5i3j13j10e9g8f8e3g11j5g13l5k5j12k3d11i12l9j10j6a6g13g6c2j4k8b7d9a6f13i8c1a9b3c8l8g4h13f12j12e11f13b6j5f10a1j3m13e7c8h4d10i8d3l2l6b2i11l9m7m7l5m6k6m1k5c3b12b2c4c6e10l5d2h4g3k5e5h4f11d12d10d7h7f6h1b11k2b4a9c12m5a9f10k7i9i10f10g13d12g1i13k11h6i4l,white
12i4e9e5i3j13j10e9g8g4k11h11j2d2c4b8e6g6j3g3d7c7e9c7j9h5f5e4h9i10j10m11l8d2f4g10k7i11m13f1i10l1h7b5g2h5k8j4m13h3m3k6i4d6c13l6d13c7a2k3h9m9k7f8h11i7h12c12a10c11a13k12l9j12h2m2l4j3l5l1m1a2i8k8l11e11c2b3b5d6a2j3f7g7d6l7l5a4c13i3c2g1e9d8c1k1d4l7k5j8i10i1b13b1c11d8f3a6e13e10d9b6b8a9a4f2e1j12j5c2a6h6f10f13g4i12g5h6k12m10h9l8m13d11g11b12k5m11k13m11f10a12f1f6m10g9f,white
12i4e9e5i3j13j10e9g8f8e5h1f3k12k2b6h13k1b12c2c5b3d12f5j10a9c6j7f9j8l13g11b2d12a1j2f8d8c7d6e9a10b2e8b10c2j9i11m9m10k4m5k9h11l8g6f7e6c1i5e10l4j4c4d3f3c8j3e1e6l2m3l10j7c11e7l3a2a11h12h10f9f1a12l8a4i10d3i4b2l6m6k7j8m6d1m7m7i3m6i11k11i13c3h4g2g10g5g7k10i2k11j12e10h8h9d13b11g11c4h,white
12i4e9e5i3j13j10e9g8f8e3g11j13a13l11g6f11a11b7k10c1f8i13g3d12k12l13d6j13b7h4f12j7j8l13e5j13f7d5e6c7g5b1j8d7b9b1h2f3e7i10j9l3b3c9d10l10b11f5f4a5c2b2l9c12b12a8b10g8m7f4c4b8g5d12f4k1a3m4j6g6l8k2h8j5m4i2e3i2g6h2m3a13i2c1m10k6k12m11d9f13h1i1l2j6e4l,white
3m2m12l5c4c5e11d12f9e6g5h6d8m7c7f8b3i3h2i12a5g10e11e9a2k10c12b11l11m11b1h4a4g6h6f2f10f9i8g13b4i10j10d13h10l4f5d6c12g6m8e2b3b7b1b13i12c8j2a11i11g10m13g7m13c12e11k3c8c11f6e9k8d11c13f5j9f10k9h11h8i13d5i3k7i6k1e5b4j5m3j13a9m4d1j,black
3m2m12l5c4c5e11d12f9e6g5h6d8m7c7f8b3i2f2k6b2h10e11e8e6h12c3g7g8f1e1d9h4d4e13b9f2b1b1c6l10d6e4g13h6f8c2i7m13i13e2a5j13d9g11h4b3j12k10h11k11m1l1j13a1k12j9j7b12i6a4a2d1h12h9i6m11i1m1f7h12g8d5i4i4j4l3l11b6i6k2e9k12e3b7l13c8j7e7i4h13f3k13k6c4k11l5m4m10l9m13m1g2l3e3d8g8h7d10j2g12m5d5k9c10k12b8a12a3h5l4f13j5g,black
3m2m12l5c4c5e11d12f9e6g5h6d8m7c7f8b3i12a2k2f2h6f6h8e10g1a2a4i3j11h3g13m8h10i11g12e12b5i10f11l2i6c4d10l11m13h4h1e1d10m6i6b7g3e4j5j9h13j7i7e10k4l3l9l3b11e12g10b8d9g4g7h5f6a8c10e9f4m5d11f13i12d2c9a7d5b2d4f1g7m8g11b2l12k1k11k6e1l5m9d9c6k12j11j10j7j6m10c7l13e8l8i1f4e2e13f1b3d1m5g1i1c1h10d9m13l12m13k13g,black
3m2m12l5c4c5e11d12f9e6g5h6d8m7c7f8b3i3h2i2f12e3l2k10k4g11l11m3f1h13i6h12k7g10h11f4h10f6i4i6b8g12a4d12c13e13j12d11g10l7h9h3j5g13l10g3b6f11k1b3c2e4f1f13d8h6l10e6c5d12j7m4e4b2c2b4m2a5l5j9a1l13k4k1a1j,black
3m2m12l5c4c5e11d12f9e6g5h6d8m7c7f8b3i3h2i4h5g13h6h6c4i6i6f13m8g10f1h7h7g1a2a3l2k13e12d8h10e10j11m11f9f3b8e12a8d4m12b6a6e8f7d12m4g12c13d3c10k3e2e10i4d2b2c7e11l13g11c3d10c1l1j,black
3m4e11m3l4d8i7h5f5e3d11c8f6g7e12k7k6l4c1e9g9i2l13j13l8l6c5b7a4h5j4k4j2c5d9a4f12c12l3e4b1c9b10d3h6i3i5i6d5c2e11e12j6a11f12e10f13a7b10g6e7m9j9h4i5g5h6h6k10l11l11k2k3c4g9f8h8d8j9m7l2i2h2j3k2a1a2b1l6f7d7f7g6m1f9k2f9e12g5m13e5a1g8g5l12d8c8e7i2m8k10b11a9l10h6j10k13k4m10c12m3j10a11g1b12b12a8a1k13b1j1h1i1m13f13d13m3f13h1d12i3g2d11j11i10i10j3b10m13c7j8b7c13i4a11b6b11d8m9c12f9d13g5k4l,white
3m4e11m3l4d8i7h5f5e3d11c8f6g7e12k7k6l4c1e9g9i2l13j13l8l6c5b7a4h5j4k4j2c5d9a4f12c12l3e4b1c9b10d3h6i3i5i6d5c2e11e12j6a11f12e10f13a7b10g6e7m9j9h4i5g5h6h6k10l11l11k2k3c4g9f8h8d8j9m7l7d5a2a1a6m10e2b7g7f12d2j3k13k2h9e11d2i1f10h9l13e12a12b1l9k2f10c9d11h8e8b8c10b10a8g5l3j11a11b13d4a1d8a5m1m7i6j10i3b7c6b10j4m10k6f7j8k4l,white
3m4e11m3l4d8i7h5f5e3d11c8f6g7e12k7k6l4c1e9g9i2l13j13l8l6c5b7a4h5j4k4j2c5d9a4f12c12l3e4b1c9b10d3h6i3i5i6d5c2e11e12j6a11f12e10f13a7b10g6e7m9j9h4i5g5h6h6k10l11l11k4g9m10k6m2m2b3b9f8h8a8g2i2h2j7g7f9e1f2g3a2a3k1g1h12b3f2f3g12d8b11d5a7d3c1d6f4a13c11b8c10e8e13d8d11j10h10j7c9c2k12a10c13m13b6b9k8k13e1m1i10a13f10i1b13i1a11a12f12h1j13g1l11h13h5l3j4l4m12g1k6j,white
