moves,winners
11e4d4l9e2b7b3a9h7l10c4a2f9i7k13f11j8l11d1a3d3h4b11k4j5i6i1d9j11h12i10j3b4f10d12h6j3e12d5k12e13a5m13g6c5a10e11f10i13b13l4e12j5g6b10k10h6h8c4c8m7f11a3g9k1b4h9f12l1g7m12m12k8j7i13j6l8h11g12a3l3i7a6k3f7g7c5c8d9g3m10f9m1e11l2l5f6f4i12f3k13e13k1f9b1k6m9d5j9l4g6e10a8g2d6d7j5d12c2j,black
10k1e5j11l9f12m2k6e4j9l11c6h12g1d11a2l4m6g2j10h3e4h6d9a4l11j7e11f12b5l13d12d2b12h3g3l8g13c5c10l5e4e2e9c1c5g9h6k3d5f4i4d5b1f5m6b6a5d3h11h9j13h11i7l3c7f5h5k11e2c8f7i1m6i12e9k1j12f6j2f8i13g8e10c7c11d1l13k2a10i3k3i6c9d9b10b10e4f9g10j7j,black
1l11a5f3k2f1k2d8g12a9c8l4m13d1j2h11i7g6h1m8c11j9i8f3h4g6f8a7d11l12d7i12c7a13g6j6a6g10e5c12i1g3c6e4k10h6k6i4l3j4d4j10d12e11m1a4b3i9j10k10b7k5g13f13a3d6d12h8e4f2k13h5a9h8j7h9f12b8m6b5b9g7j3m5j13j11c7l3b9d7b13l2a6l11f11k8h1i8b12j7e12k11b7c4e6c12m4i10f10i9b9k9m5k10l12f5i13k5l13e2i5h2b9l3f1b4c3g2e10a11g2j11h2l10m6m3e5d3l9a10j,white
9l8f9c4b5m8g2d3a6i10i10j1b7d2g3m5k6g7b7k13l12d9h1f6a7f6f4e5c6m13c3j8l5f12a3l12j12h8h12b9j13d2f13j11k10l8a10f6d5l2c8e7j2i4g7m4l1c8i10g11l11i8d7e2j9f13m4m9d9e10h4i12e12i2b11g8c9m3c8m10a11b13h10c12m1h5h9i12k3e4d13e4a2a1g10m5b1a12f7c11c5g3i4h6h3d9b2k4j1d9g4c4f5i7a9k6b6c5d13a10d7l11m10k13i3k6e13k8k3h3f6k7i12c5a1i3b2e6j1e11d2m10e7g7h5j11e13g,black
9h7i7a10h10a4f4c5d9i9m12h6f6m4i12d3b9j10m11m7j11f3m11e10j11g8e9f1m1a11c6g4d3e4k9a3g2i7h10b3i5j5h2f12g3d7k4b2l2c10i11j2m2b4h2h11d11h12a6h11l6l8l5i11b10g9l9g2d3j13j1l13e3c5g9k2k13g12l1k6k5l10f5m5f8a13c10k7b12j12i1i4m12e13d5b6b13k2j8h3a1f4e8f12m7f13i13f12f9d8b1h9c6c3h1b10e2a13m5e12k8k12c11k5c8i10d4g7m8d4a8g9b1j12b7e4l9e3f6d7g7l13h11a5k3k13b10c7d8m6i2g7c13l6a,white
1c3g3i4j3h3l3b10d12k8j7h4g1e2d2b9h4d11j9k3j2h11k13g11a5m9j6m8f11c6j12a2a8g9d11g2g13d9a4b10a1i6h7g10i13j12i9f9e5g12g13i8c6f13m5e10l11i7m7i1b1f7l1l6l5j11b11l9m4l10h11f6d11d10j3m4k2k10f6c7f5d8d4f10k13f7j12l5c1k13e12b2e8b13l9i9c1d6a12h6i5k2m2c12e4a2f3k10b11m6g,white
7a11d6f13j2f9i4c1b11a7g7c3h1d3a11k13m10d13h13a8l3d5a12l6e9f13g8k3b6k11b12j5h5b3e5i4e6c7i9a4j10i8d2i12d2c5d12m5c3j2a11l5f3i9b7k10h9m13b7e4h10e8h2e6b1j11f7d9d4g7f8g12k13f5g6l12f10k4f8e2j8i3c6i4m9e8m11e1a6d6m8a9l11h8f10a6j10j6g1k6a7h3l3k9j1g9h7b11c13k4i10f7j5j2d9c2g13c11i8c12i12b5k1m10m10g2m12h11j3g6h1f2h12g5l10b12c7m4b1l3f2l1c4d13d7l2k1i2b5e8b12e4k,white
5b7l7e11h13d10h3a5m5i2h2k6k13g13f12b6c2e3m7k12j10c6b9e13i11a7m6m5h12i13j3l11k1d5f4h3g7i4l8g5j2a8f8i8a8j9c7d7g10e8e4f11g1l5e2m7a12m3c13h5g12c1m12e8b3b10b10l11l4g10j9k6d4j12f7b12k8c4e13c2b10g6f9m9h13b12l2l4k5l9d12g10i11m9g3d11f4c2c8k11e11b1h5d3k9l11c3i10a2g4d11i2i5k7j10d6i12d13l1b12a1e5a4b9f3f7f1f10f7c10m6l3e9b5c13a9a6g6h,white
5m10i2g13h13d9g11m3d3m10l12m4l9e11j11d5i10h12i1j13c4h13b8c1a1k7l2i13m8h4e3j6l8l8j12g13k4c12l4f12b7b10d9j12c2j10e2m6k11e11g5f5e13i3a5c2k6e5k3b5a7d8b4j11k6d8f5j6c9f5h12e11a1c8e8d10f8g3c11l10g1b10j6a7h7e5d9d6j9k3l11i4d9c6b3h11c6m11h3e7i2e1l6i12a4b7m13j1h4g9i1f6h10b1g4i2c3k3i13g10c9h12f3f5b9m7j,white
3d13a7m3b1l4b9j5i3g8j2b13i2j10i10k12j8f4e2l10b2a12i12c12e7k10j3e8k9l11h12d11j12l6g4f4c4k7d9h9d1k3l5b11k7h8b4i11c11g5j1a11a1j9k13g11d5l9c6k8h9f5a5d12g5e1g2e11e13j7e11f4j7c5c6d1b6m3k3j11b5f12h12b10g8c8a4l5k13c10d1f5m5h7a8d3h10h3m7i12f6h8g3i4a7b13b13e13f4h6a12k9i6l1i8e6f13h10a6j9g12m7g4m1m10e1h10l10m3c4g7j9m9e7l11m11i6i3f11l2d3a12a7f2c2k13m5g6b8m,black
